case_identifier,case_title,document_title,document_type,party,argument_summary,legal_basis,key_keywords,court_followed,tribunal_reasoning
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Claimant,The Claimant argues that the Respondent's objections do not trigger the mandatory bifurcation mechanism under USPTPA Article 10.20.4.,USPTPA Art. 10.20.4,"['bifurcation', 'jurisdictional objections', 'Article 10.20.4', 'failure to state a claim']",Yes,"The Tribunal agreed that the objections were not of the type requiring mandatory bifurcation under Article 10.20.4, as they were objections to the Tribunal's competence."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Claimant,The Claimant argues that the Respondent's objections do not warrant bifurcation under Article 23(3) of the UNCITRAL Rules because they are frivolous and intertwined with the merits.,"UNCITRAL Rules Art. 23(3), Glamis Gold test","['bifurcation', 'UNCITRAL Rules', 'Glamis Gold', 'frivolous', 'intertwined with merits']",Yes,"The Tribunal agreed that bifurcation was not warranted, as the objections required factual inquiries and were intertwined with the merits."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Claimant,The Claimant argues that the time-bar objection (Objection 1) is intertwined with the merits and requires a fact-intensive inquiry.,USPTPA Art. 10.18.1,"['time-bar', 'limitation period', 'knowledge of breach', 'factual inquiry', 'merits']",Yes,"The Tribunal agreed that the time-bar objection required a factual inquiry that would overlap with the merits, making bifurcation inefficient."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Claimant,The Claimant argues that the consultation and negotiation requirement (Objection 2) was fulfilled before Amorrortu I and continues to be fulfilled.,"USPTPA Art. 10.15, USPTPA Art. 10.16","['consultation and negotiation', 'pre-arbitral requirements', 'Amorrortu I', 'same dispute']",Yes,The Tribunal agreed that the analysis required in respect of Objection 2 would be better addressed as part of the larger evidentiary exercise engaged with the merits.
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Claimant,The Claimant argues that the notice of intent requirement (Objection 3) is satisfied because the claims in Amorrortu II are the same as those in Amorrortu I.,USPTPA Art. 10.16.2,"['notice of intent', 'pre-arbitral requirements', 'Amorrortu I', 'same claim']",Yes,"The Tribunal agreed that adjudicating Objection 3 separately would still be likely to require the Tribunal to undertake a broader factual inquiry and delve into legal issues that involve the wider merits of the case, without all the relevant context."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Respondent,The Respondent argues that the Claimant's claims are time-barred under USPTPA Article 10.18.1 because they were not submitted within the three-year limitation period.,USPTPA Art. 10.18.1,"['time-bar', 'limitation period', 'knowledge of breach', 'Notice of Arbitration', 'Statement of Claim']",No,"The Tribunal found that the time-bar objection required a factual inquiry that would overlap with the merits, making bifurcation inefficient."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Respondent,The Respondent argues that the Claimant failed to comply with the mandatory consultation and negotiation requirement in Articles 10.15 and 10.16 of the USPTPA.,"USPTPA Art. 10.15, USPTPA Art. 10.16","['consultation and negotiation', 'pre-arbitral requirements', 'Amorrortu I', 'new claim']",No,The Tribunal found that the analysis required in respect of Objection 2 would be better addressed as part of the larger evidentiary exercise engaged with the merits.
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Respondent,"The Respondent argues that the Claimant failed to submit a notice of intent before filing his Statement of Claim, as required by Article 10.16.2 of the USPTPA.",USPTPA Art. 10.16.2,"['notice of intent', 'pre-arbitral requirements', 'Amorrortu I', 'new claim']",No,"The Tribunal found that adjudicating Objection 3 separately would still be likely to require the Tribunal to undertake a broader factual inquiry and delve into legal issues that involve the wider merits of the case, without all the relevant context."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Respondent,The Respondent argues that the Tribunal should bifurcate the proceedings to address its jurisdictional objections under Article 10.20.4 of the USPTPA.,USPTPA Art. 10.20.4,"['bifurcation', 'jurisdictional objections', 'Article 10.20.4', 'preliminary question']",No,"The Tribunal determined that the objections were not of the type requiring mandatory bifurcation under Article 10.20.4, as they were objections to the Tribunal's competence."
,Bacilio Amorrortu v. Peru (II),Procedural Order No. 2 (Decision on Bifurcation),Bifurcation,Respondent,"The Respondent argues that, in the alternative, bifurcation is warranted under Article 23(3) of the UNCITRAL Rules.","UNCITRAL Rules Art. 23(3), Glamis Gold test","['bifurcation', 'UNCITRAL Rules', 'Glamis Gold', 'substantial', 'efficiency']",No,"The Tribunal agreed that bifurcation was not warranted, as the objections required factual inquiries and were intertwined with the merits."
